"param","importance","dataset","imputation","time_taken"
"('max_features', 'min_samples_split')",0.0042192258600926,"jm1.csv","True",1030.782415119
"('criterion', 'max_features')",0.00226151108536001,"jm1.csv","True",1030.782415119
"('imputation', 'min_samples_leaf')",0.00160295787557619,"jm1.csv","True",1030.782415119
"('imputation', 'max_features')",0.00100158335003047,"jm1.csv","True",1030.782415119
"('criterion', 'min_samples_split')",0.000685540672015813,"jm1.csv","True",1030.782415119
"('imputation', 'min_samples_split')",0.000400235634986614,"jm1.csv","True",1030.782415119
"('criterion', 'imputation')",0.000145591377444771,"jm1.csv","True",1030.782415119
"('criterion', 'max_features', 'min_samples_leaf')",0.00673870040588867,"jm1.csv","True",1030.782415119
"('imputation', 'max_features', 'min_samples_leaf')",0.00639750487245418,"jm1.csv","True",1030.782415119
"criterion",0.000397579540787864,"dataset_188_kropt.csv","False",91.7940742030041
"max_features",0.683218179192787,"dataset_188_kropt.csv","False",91.7940742030041
"min_samples_leaf",0.234326079485824,"dataset_188_kropt.csv","False",91.7940742030041
"min_samples_split",0.00287763758088066,"dataset_188_kropt.csv","False",91.7940742030041
"('max_features', 'min_samples_leaf')",0.0312166932251778,"dataset_188_kropt.csv","False",91.7940742030041
"('max_features', 'min_samples_split')",0.0096360992472496,"dataset_188_kropt.csv","False",91.7940742030041
"('min_samples_leaf', 'min_samples_split')",0.00961973326062319,"dataset_188_kropt.csv","False",91.7940742030041
"('criterion', 'max_features')",0.00204301215946331,"dataset_188_kropt.csv","False",91.7940742030041
"('criterion', 'min_samples_leaf')",0.00069632950848463,"dataset_188_kropt.csv","False",91.7940742030041
"('criterion', 'min_samples_split')",0.000507284997805408,"dataset_188_kropt.csv","False",91.7940742030041
"('criterion', 'max_features', 'min_samples_leaf')",0.00316518959707346,"dataset_188_kropt.csv","False",91.7940742030041
"criterion",0.117105262402088,"dataset_44_spambase.csv","False",119.224731968949
"max_features",0.399011583953251,"dataset_44_spambase.csv","False",119.224731968949
"min_samples_leaf",0.224849730436771,"dataset_44_spambase.csv","False",119.224731968949
"min_samples_split",0.00453869879357404,"dataset_44_spambase.csv","False",119.224731968949
"('max_features', 'min_samples_leaf')",0.0673145712747583,"dataset_44_spambase.csv","False",119.224731968949
"('criterion', 'max_features')",0.0204259276362739,"dataset_44_spambase.csv","False",119.224731968949
"('max_features', 'min_samples_split')",0.0166175093763,"dataset_44_spambase.csv","False",119.224731968949
"('criterion', 'min_samples_leaf')",0.0158006699462773,"dataset_44_spambase.csv","False",119.224731968949
"('min_samples_leaf', 'min_samples_split')",0.0142844170322478,"dataset_44_spambase.csv","False",119.224731968949
"('criterion', 'min_samples_split')",0.00412226270185421,"dataset_44_spambase.csv","False",119.224731968949
"('criterion', 'max_features', 'min_samples_leaf')",0.0376010030359697,"dataset_44_spambase.csv","False",119.224731968949
"criterion",0.0202790467706335,"phpdo58hj.csv","False",128.16103026201
"max_features",0.0630696694306888,"phpdo58hj.csv","False",128.16103026201
"min_samples_leaf",0.168465272185092,"phpdo58hj.csv","False",128.16103026201
"min_samples_split",0.0251331715341582,"phpdo58hj.csv","False",128.16103026201
"('max_features', 'min_samples_leaf')",0.177019274723231,"phpdo58hj.csv","False",128.16103026201
"('min_samples_leaf', 'min_samples_split')",0.0670524991817224,"phpdo58hj.csv","False",128.16103026201
"('max_features', 'min_samples_split')",0.0649036013591167,"phpdo58hj.csv","False",128.16103026201
"('criterion', 'min_samples_leaf')",0.0278093391949279,"phpdo58hj.csv","False",128.16103026201
"('criterion', 'max_features')",0.0253244804223468,"phpdo58hj.csv","False",128.16103026201
"('criterion', 'min_samples_split')",0.0146061240024681,"phpdo58hj.csv","False",128.16103026201
"('criterion', 'max_features', 'min_samples_leaf')",0.0686589958284881,"phpdo58hj.csv","False",128.16103026201
"criterion",0.0747637826705655,"phpCsX3fx.csv","False",111.598154156003
"max_features",0.156633089802492,"phpCsX3fx.csv","False",111.598154156003
"min_samples_leaf",0.636902067832224,"phpCsX3fx.csv","False",111.598154156003
"min_samples_split",0.00378051648309149,"phpCsX3fx.csv","False",111.598154156003
"('max_features', 'min_samples_leaf')",0.031548274383177,"phpCsX3fx.csv","False",111.598154156003
"('criterion', 'min_samples_leaf')",0.0126320229147197,"phpCsX3fx.csv","False",111.598154156003
"('min_samples_leaf', 'min_samples_split')",0.0106362060674182,"phpCsX3fx.csv","False",111.598154156003
"('criterion', 'max_features')",0.00761312682614807,"phpCsX3fx.csv","False",111.598154156003
"('max_features', 'min_samples_split')",0.00671676135060474,"phpCsX3fx.csv","False",111.598154156003
"('criterion', 'min_samples_split')",0.00284122552933659,"phpCsX3fx.csv","False",111.598154156003
"('criterion', 'max_features', 'min_samples_leaf')",0.019876933604649,"phpCsX3fx.csv","False",111.598154156003
"criterion",0.124304896614445,"dataset_5_arrhythmia.csv","True",1569.33334200899
"imputation",0.00208398517544416,"dataset_5_arrhythmia.csv","True",1569.33334200899
"max_features",0.189441255917173,"dataset_5_arrhythmia.csv","True",1569.33334200899
"min_samples_leaf",0.162048883245539,"dataset_5_arrhythmia.csv","True",1569.33334200899
"min_samples_split",0.0119714405882056,"dataset_5_arrhythmia.csv","True",1569.33334200899
"('max_features', 'min_samples_leaf')",0.050792748224603,"dataset_5_arrhythmia.csv","True",1569.33334200899
"('criterion', 'min_samples_leaf')",0.0352394457895864,"dataset_5_arrhythmia.csv","True",1569.33334200899
"('min_samples_leaf', 'min_samples_split')",0.0328897823668789,"dataset_5_arrhythmia.csv","True",1569.33334200899
"('criterion', 'max_features')",0.0174100005427855,"dataset_5_arrhythmia.csv","True",1569.33334200899
"('max_features', 'min_samples_split')",0.016463256392897,"dataset_5_arrhythmia.csv","True",1569.33334200899
"('imputation', 'max_features')",0.00999648189891952,"dataset_5_arrhythmia.csv","True",1569.33334200899
"('imputation', 'min_samples_leaf')",0.00757008580202318,"dataset_5_arrhythmia.csv","True",1569.33334200899
"('imputation', 'min_samples_split')",0.00405370956709748,"dataset_5_arrhythmia.csv","True",1569.33334200899
"('criterion', 'min_samples_split')",0.00373875514830434,"dataset_5_arrhythmia.csv","True",1569.33334200899
"('criterion', 'imputation')",0.00130694793705753,"dataset_5_arrhythmia.csv","True",1569.33334200899
"('criterion', 'max_features', 'min_samples_leaf')",0.0424557486762122,"dataset_5_arrhythmia.csv","True",1569.33334200899
"('imputation', 'max_features', 'min_samples_leaf')",0.0288020675803333,"dataset_5_arrhythmia.csv","True",1569.33334200899
"criterion",0.0192826240495037,"phpdReP6S.csv","False",107.168682096002
"max_features",0.0504711599847195,"phpdReP6S.csv","False",107.168682096002
"min_samples_leaf",0.471594285279104,"phpdReP6S.csv","False",107.168682096002
"min_samples_split",0.0206914273128576,"phpdReP6S.csv","False",107.168682096002
"('max_features', 'min_samples_leaf')",0.0799844440891643,"phpdReP6S.csv","False",107.168682096002
"('min_samples_leaf', 'min_samples_split')",0.0605570086384364,"phpdReP6S.csv","False",107.168682096002
"('max_features', 'min_samples_split')",0.0385310979990511,"phpdReP6S.csv","False",107.168682096002
"('criterion', 'min_samples_leaf')",0.0239047284966497,"phpdReP6S.csv","False",107.168682096002
"('criterion', 'max_features')",0.0123864935375298,"phpdReP6S.csv","False",107.168682096002
"('criterion', 'min_samples_split')",0.00744992349120755,"phpdReP6S.csv","False",107.168682096002
"('criterion', 'max_features', 'min_samples_leaf')",0.0395433821747606,"phpdReP6S.csv","False",107.168682096002
"criterion",0.0741664932290149,"phpWfYmlu.csv","False",111.681590031018
"max_features",0.0849566670464122,"phpWfYmlu.csv","False",111.681590031018
"min_samples_leaf",0.457512448839265,"phpWfYmlu.csv","False",111.681590031018
